pyo_id,label,original_pyov_id,producers_fg_count,utilizers_fg_count,fg_production_count,fg_utilization_count,strain_production_count,strain_utilization_count,fg_out_in_ratio,str_out_in_ratio,coop_fg,crossfeed_fg,nonprod_fg,coop_fg_frac,crossfeed_fg_frac,nonprod_fg_frac,util_total_strains,coop_strains,crossfeed_strains,nonprod_strains,coop_strain_frac,crossfeed_strain_frac,nonprod_strain_frac,module_id,util_module_n_rows,util_module_n_cols,util_module_nodf_total,util_module_fill_pct,util_module_is_large_nested,cheating_index
PYO_27,pyov_40,40,1,32,1,32,1,387,32,387,1,28,3,0.03125,0.875,0.09375,387,1,354,32,0.002583979328165375,0.9147286821705426,0.082687338501292,0,31,16,85.71428571428574,66.12903225806451,TRUE,0.6463418384960612
PYO_34,pyov_55,55,1,61,1,61,2,272,61,136,1,42,18,0.01639344262295082,0.6885245901639344,0.29508196721311475,272,2,208,62,0.007352941176470588,0.7647058823529411,0.22794117647058823,3,55,21,84.08512616148458,67.53246753246754,TRUE,0.5994113552120626
PYO_93,pyov_278,278,1,38,1,38,1,297,38,297,1,25,12,0.02631578947368421,0.6578947368421053,0.3157894736842105,297,1,261,35,0.003367003367003367,0.8787878787878788,0.11784511784511785,8,48,25,54.58372393043916,37.666666666666664,TRUE,0.5758497905684904
PYO_35,pyov_56,56,1,61,1,61,3,272,61,90.66666666666667,1,42,18,0.01639344262295082,0.6885245901639344,0.29508196721311475,272,3,207,62,0.011029411764705883,0.7610294117647058,0.22794117647058823,3,55,21,84.08512616148458,67.53246753246754,TRUE,0.5583060011533405
PYO_45,pyov_66,66,1,61,1,61,3,272,61,90.66666666666667,1,42,18,0.01639344262295082,0.6885245901639344,0.29508196721311475,272,3,207,62,0.011029411764705883,0.7610294117647058,0.22794117647058823,3,55,21,84.08512616148458,67.53246753246754,TRUE,0.5583060011533405
PYO_19,pyov_32,32,1,58,1,58,2,333,58,166.5,1,42,15,0.017241379310344827,0.7241379310344828,0.25862068965517243,333,2,280,51,0.006006006006006006,0.8408408408408409,0.15315315315315314,8,48,25,54.58372393043916,37.666666666666664,TRUE,0.5530761205797945
PYO_44,pyov_65,65,1,61,1,61,4,272,61,68,1,42,18,0.01639344262295082,0.6885245901639344,0.29508196721311475,272,4,206,62,0.014705882352941176,0.7573529411764706,0.22794117647058823,3,55,21,84.08512616148458,67.53246753246754,TRUE,0.5377533241239796
PYO_32,pyov_53,53,1,61,1,61,11,272,61,24.727272727272727,1,42,18,0.01639344262295082,0.6885245901639344,0.29508196721311475,272,11,199,62,0.04044117647058824,0.7316176470588235,0.22794117647058823,3,55,21,84.08512616148458,67.53246753246754,TRUE,0.498516395249745
PYO_33,pyov_54,54,1,61,1,61,12,272,61,22.666666666666668,1,42,18,0.01639344262295082,0.6885245901639344,0.29508196721311475,272,12,198,62,0.04411764705882353,0.7279411764705882,0.22794117647058823,3,55,21,84.08512616148458,67.53246753246754,TRUE,0.4966479700652576
PYO_14,pyov_27,27,1,58,1,58,4,333,58,83.25,1,42,15,0.017241379310344827,0.7241379310344828,0.25862068965517243,333,4,278,51,0.012012012012012012,0.8348348348348348,0.15315315315315314,8,48,25,54.58372393043916,37.666666666666664,TRUE,0.47759036928445764
PYO_21,pyov_34,34,1,32,1,32,2,387,32,193.5,1,28,3,0.03125,0.875,0.09375,387,2,353,32,0.00516795865633075,0.9121447028423773,0.082687338501292,0,31,16,85.71428571428574,66.12903225806451,TRUE,0.4708884706204136
PYO_26,pyov_39,39,1,32,1,32,2,387,32,193.5,1,28,3,0.03125,0.875,0.09375,387,2,353,32,0.00516795865633075,0.9121447028423773,0.082687338501292,0,31,16,85.71428571428574,66.12903225806451,TRUE,0.4708884706204136
PYO_15,pyov_28,28,1,58,1,58,7,333,58,47.57142857142857,1,42,15,0.017241379310344827,0.7241379310344828,0.25862068965517243,333,7,275,51,0.021021021021021023,0.8258258258258259,0.15315315315315314,8,48,25,54.58372393043916,37.666666666666664,TRUE,0.4452393330150276
PYO_25,pyov_38,38,1,32,1,32,3,387,32,129,1,28,3,0.03125,0.875,0.09375,387,3,352,32,0.007751937984496124,0.9095607235142119,0.082687338501292,0,31,16,85.71428571428574,66.12903225806451,TRUE,0.4124040146618644
PYO_24,pyov_37,37,2,32,2,32,2,387,16,193.5,1,28,3,0.03125,0.875,0.09375,387,1,354,32,0.002583979328165375,0.9147286821705426,0.082687338501292,0,31,16,85.71428571428574,66.12903225806451,TRUE,0.40422180395374696
PYO_16,pyov_29,29,2,58,2,58,4,333,29,83.25,2,41,15,0.034482758620689655,0.7068965517241379,0.25862068965517243,333,4,278,51,0.012012012012012012,0.8348348348348348,0.15315315315315314,8,48,25,54.58372393043916,37.666666666666664,TRUE,0.35675703595112435
PYO_53,pyov_97,97,1,9,1,9,9,34,9,3.7777777777777777,1,4,4,0.1111111111111111,0.4444444444444444,0.4444444444444444,34,9,11,14,0.2647058823529412,0.3235294117647059,0.4117647058823529,3,55,21,84.08512616148458,67.53246753246754,TRUE,0.3264852942602472
PYO_54,pyov_98,98,2,9,2,9,2,34,4.5,17,2,3,4,0.2222222222222222,0.3333333333333333,0.4444444444444444,34,2,18,14,0.058823529411764705,0.5294117647058824,0.4117647058823529,3,55,21,84.08512616148458,67.53246753246754,TRUE,0.3197243558607078
PYO_52,pyov_89,89,1,25,1,25,1,55,25,55,1,21,3,0.04,0.84,0.12,55,1,45,9,0.01818181818181818,0.8181818181818182,0.16363636363636364,8,48,25,54.58372393043916,37.666666666666664,TRUE,0.31810388793916805
PYO_92,pyov_277,277,2,38,2,38,3,297,19,99,2,24,12,0.05263157894736842,0.631578947368421,0.3157894736842105,297,3,259,35,0.010101010101010102,0.8720538720538721,0.11784511784511785,8,48,25,54.58372393043916,37.666666666666664,TRUE,0.317149445145347
PYO_51,pyov_88,88,1,25,1,25,2,55,25,27.5,1,21,3,0.04,0.84,0.12,55,2,44,9,0.03636363636363636,0.8,0.16363636363636364,8,48,25,54.58372393043916,37.666666666666664,TRUE,0.2931686547785463
PYO_82,pyov_265,265,1,13,1,13,1,84,13,84,1,7,5,0.07692307692307693,0.5384615384615384,0.38461538461538464,84,1,73,10,0.011904761904761904,0.8690476190476191,0.11904761904761904,8,48,25,54.58372393043916,37.666666666666664,TRUE,0.2789646592921674
PYO_48,pyov_70,70,1,4,1,4,2,18,4,9,1,1,2,0.25,0.25,0.5,18,2,3,13,0.1111111111111111,0.16666666666666666,0.7222222222222222,9,3,2,0,100,FALSE,0.271727570220889
PYO_47,pyov_69,69,1,4,1,4,3,18,4,6,1,1,2,0.25,0.25,0.5,18,3,2,13,0.16666666666666666,0.1111111111111111,0.7222222222222222,9,3,2,0,100,FALSE,0.26900736296700295
PYO_31,pyov_52,52,1,6,1,6,1,103,6,103,1,5,0,0.16666666666666666,0.8333333333333334,0,103,1,102,0,0.009708737864077669,0.9902912621359223,0,3,55,21,84.08512616148458,67.53246753246754,TRUE,0.261419693820523
PYO_23,pyov_36,36,2,32,2,32,14,387,16,27.642857142857142,1,28,3,0.03125,0.875,0.09375,387,13,342,32,0.03359173126614987,0.8837209302325582,0.082687338501292,0,31,16,85.71428571428574,66.12903225806451,TRUE,0.2538332029174775
PYO_66,pyov_216,216,2,11,2,11,5,37,5.5,7.4,2,5,4,0.18181818181818182,0.45454545454545453,0.36363636363636365,37,5,24,8,0.13513513513513514,0.6486486486486487,0.21621621621621623,3,55,21,84.08512616148458,67.53246753246754,TRUE,0.2474964975074303
PYO_58,pyov_113,113,1,14,1,14,1,49,14,49,1,12,1,0.07142857142857142,0.8571428571428571,0.07142857142857142,49,1,47,1,0.02040816326530612,0.9591836734693877,0.02040816326530612,0,31,16,85.71428571428574,66.12903225806451,TRUE,0.24330697851501157
PYO_59,pyov_114,114,1,14,1,14,1,49,14,49,1,12,1,0.07142857142857142,0.8571428571428571,0.07142857142857142,49,1,47,1,0.02040816326530612,0.9591836734693877,0.02040816326530612,0,31,16,85.71428571428574,66.12903225806451,TRUE,0.24330697851501157
PYO_64,pyov_119,119,1,14,1,14,1,49,14,49,1,12,1,0.07142857142857142,0.8571428571428571,0.07142857142857142,49,1,47,1,0.02040816326530612,0.9591836734693877,0.02040816326530612,0,31,16,85.71428571428574,66.12903225806451,TRUE,0.24330697851501157
PYO_83,pyov_266,266,1,13,1,13,2,84,13,42,1,7,5,0.07692307692307693,0.5384615384615384,0.38461538461538464,84,2,72,10,0.023809523809523808,0.8571428571428571,0.11904761904761904,8,48,25,54.58372393043916,37.666666666666664,TRUE,0.2408817577377632
PYO_61,pyov_116,116,1,14,1,14,2,49,14,24.5,1,12,1,0.07142857142857142,0.8571428571428571,0.07142857142857142,49,2,46,1,0.04081632653061224,0.9387755102040817,0.02040816326530612,0,31,16,85.71428571428574,66.12903225806451,TRUE,0.22109195260827583
PYO_65,pyov_120,120,1,14,1,14,2,49,14,24.5,1,12,1,0.07142857142857142,0.8571428571428571,0.07142857142857142,49,2,46,1,0.04081632653061224,0.9387755102040817,0.02040816326530612,0,31,16,85.71428571428574,66.12903225806451,TRUE,0.22109195260827583
PYO_81,pyov_264,264,2,13,2,13,2,84,6.5,42,2,6,5,0.15384615384615385,0.46153846153846156,0.38461538461538464,84,2,72,10,0.023809523809523808,0.8571428571428571,0.11904761904761904,8,48,25,54.58372393043916,37.666666666666664,TRUE,0.2137984244044299
PYO_02,pyov_7,7,1,5,1,5,1,16,5,16,0,3,2,0,0.6,0.4,16,0,8,8,0,0.5,0.5,2,10,9,0,33.333333333333336,FALSE,0.2108446260130198
PYO_63,pyov_118,118,1,14,1,14,4,49,14,12.25,1,12,1,0.07142857142857142,0.8571428571428571,0.07142857142857142,49,4,44,1,0.08163265306122448,0.8979591836734694,0.02040816326530612,0,31,16,85.71428571428574,66.12903225806451,TRUE,0.20998443965490793
PYO_91,pyov_276,276,3,38,3,38,53,297,12.666666666666666,5.60377358490566,3,23,12,0.07894736842105263,0.6052631578947368,0.3157894736842105,297,53,209,35,0.17845117845117844,0.7037037037037037,0.11784511784511785,8,48,25,54.58372393043916,37.666666666666664,TRUE,0.20607485872981818
PYO_05,pyov_11,11,1,9,1,9,1,61,9,61,1,3,5,0.1111111111111111,0.3333333333333333,0.5555555555555556,61,1,40,20,0.01639344262295082,0.6557377049180327,0.32786885245901637,1,4,2,0,100,FALSE,0.20359896377642156
PYO_90,pyov_275,275,3,38,3,38,108,297,12.666666666666666,2.75,2,24,12,0.05263157894736842,0.631578947368421,0.3157894736842105,297,107,155,35,0.3602693602693603,0.5218855218855218,0.11784511784511785,8,48,25,54.58372393043916,37.666666666666664,TRUE,0.20348724019428194
PYO_01,pyov_6,6,1,5,1,5,3,16,5,5.333333333333333,1,2,2,0.2,0.4,0.4,16,3,5,8,0.1875,0.3125,0.5,2,10,9,0,33.333333333333336,FALSE,0.20117277799920286
PYO_03,pyov_8,8,1,5,1,5,4,16,5,4,1,2,2,0.2,0.4,0.4,16,4,4,8,0.25,0.25,0.5,2,10,9,0,33.333333333333336,FALSE,0.19996379699747574
PYO_80,pyov_255,255,3,5,3,5,13,16,1.6666666666666667,1.2307692307692308,3,1,1,0.6,0.2,0.2,16,13,1,2,0.8125,0.0625,0.125,3,55,21,84.08512616148458,67.53246753246754,TRUE,0.19435556911391125
PYO_20,pyov_33,33,9,58,9,58,115,333,6.444444444444445,2.8956521739130436,9,34,15,0.15517241379310345,0.5862068965517241,0.25862068965517243,333,115,167,51,0.34534534534534533,0.5015015015015015,0.15315315315315314,8,48,25,54.58372393043916,37.666666666666664,TRUE,0.1899153945237091
PYO_89,pyov_274,274,1,5,1,5,1,66,5,66,1,4,0,0.2,0.8,0,66,1,65,0,0.015151515151515152,0.9848484848484849,0,8,48,25,54.58372393043916,37.666666666666664,TRUE,0.18810129122672675
PYO_50,pyov_87,87,7,25,7,25,21,55,3.5714285714285716,2.619047619047619,7,15,3,0.28,0.6,0.12,55,21,25,9,0.38181818181818183,0.45454545454545453,0.16363636363636364,8,48,25,54.58372393043916,37.666666666666664,TRUE,0.18132249144274565
PYO_28,pyov_41,41,8,32,8,32,148,387,4,2.614864864864865,8,21,3,0.25,0.65625,0.09375,387,148,207,32,0.38242894056847543,0.5348837209302325,0.082687338501292,0,31,16,85.71428571428574,66.12903225806451,TRUE,0.18113942753587828
PYO_22,pyov_35,35,10,32,10,32,175,387,3.2,2.2114285714285713,10,19,3,0.3125,0.59375,0.09375,387,175,180,32,0.45219638242894056,0.46511627906976744,0.082687338501292,0,31,16,85.71428571428574,66.12903225806451,TRUE,0.17744028409191617
PYO_62,pyov_117,117,2,14,2,14,7,49,7,7,2,11,1,0.14285714285714285,0.7857142857142857,0.07142857142857142,49,7,41,1,0.14285714285714285,0.8367346938775511,0.02040816326530612,0,31,16,85.71428571428574,66.12903225806451,TRUE,0.17605741029394076
PYO_13,pyov_23,23,12,32,12,32,24,869,2.6666666666666665,36.208333333333336,12,10,10,0.375,0.3125,0.3125,869,24,784,61,0.02761795166858458,0.9021864211737629,0.07019562715765247,8,48,25,54.58372393043916,37.666666666666664,TRUE,0.17566438607096707
PYO_12,pyov_22,22,4,32,4,32,768,869,8,1.1315104166666667,3,19,10,0.09375,0.59375,0.3125,869,767,41,61,0.8826237054085155,0.047180667433831994,0.07019562715765247,8,48,25,54.58372393043916,37.666666666666664,TRUE,0.16608119891279205
PYO_60,pyov_115,115,3,14,3,14,25,49,4.666666666666667,1.96,3,10,1,0.21428571428571427,0.7142857142857143,0.07142857142857142,49,25,23,1,0.5102040816326531,0.46938775510204084,0.02040816326530612,0,31,16,85.71428571428574,66.12903225806451,TRUE,0.16176523988519
PYO_30,pyov_51,51,4,6,4,6,101,103,1.5,1.0198019801980198,4,2,0,0.6666666666666666,0.3333333333333333,0,103,101,2,0,0.9805825242718447,0.019417475728155338,0,3,55,21,84.08512616148458,67.53246753246754,TRUE,0.15020060235179064
PYO_49,pyov_85,85,4,4,4,4,11,11,1,1,4,0,0,1,0,0,11,11,0,0,1,0,0,3,55,21,84.08512616148458,67.53246753246754,TRUE,0.1480993138550653
PYO_07,pyov_13,13,1,12,1,12,1,22,12,22,1,8,3,0.08333333333333333,0.6666666666666666,0.25,22,1,16,5,0.045454545454545456,0.7272727272727273,0.22727272727272727,4,5,3,0,100,FALSE,0.1467040075187062
PYO_06,pyov_12,12,1,12,1,12,3,22,12,7.333333333333333,1,8,3,0.08333333333333333,0.6666666666666666,0.25,22,3,14,5,0.13636363636363635,0.6363636363636364,0.22727272727272727,4,5,3,0,100,FALSE,0.1334052164997079
PYO_04,pyov_10,10,2,9,2,9,36,61,4.5,1.6944444444444444,2,2,5,0.2222222222222222,0.2222222222222222,0.5555555555555556,61,36,5,20,0.5901639344262295,0.08196721311475409,0.32786885245901637,1,4,2,0,100,FALSE,0.13107449630376755
PYO_74,pyov_229,229,1,4,1,4,1,6,4,6,1,3,0,0.25,0.75,0,6,1,5,0,0.16666666666666666,0.8333333333333334,0,8,48,25,54.58372393043916,37.666666666666664,TRUE,0.1295304794823399
PYO_75,pyov_230,230,1,4,1,4,1,6,4,6,1,3,0,0.25,0.75,0,6,1,5,0,0.16666666666666666,0.8333333333333334,0,8,48,25,54.58372393043916,37.666666666666664,TRUE,0.1295304794823399
PYO_73,pyov_228,228,2,4,2,4,4,6,2,1.5,2,2,0,0.5,0.5,0,6,4,2,0,0.6666666666666666,0.3333333333333333,0,8,48,25,54.58372393043916,37.666666666666664,TRUE,0.11711683526817757
PYO_88,pyov_273,273,4,5,4,5,65,66,1.25,1.0153846153846153,4,1,0,0.8,0.2,0,66,65,1,0,0.9848484848484849,0.015151515151515152,0,8,48,25,54.58372393043916,37.666666666666664,TRUE,0.11355241717331906
PYO_46,pyov_68,68,6,6,6,6,13,13,1,1,6,0,0,1,0,0,13,13,0,0,1,0,0,8,48,25,54.58372393043916,37.666666666666664,TRUE,0.11249680072586322
PYO_08,pyov_14,14,2,12,2,12,3,22,6,7.333333333333333,2,7,3,0.16666666666666666,0.5833333333333334,0.25,22,3,14,5,0.13636363636363635,0.6363636363636364,0.22727272727272727,4,5,3,0,100,FALSE,0.10840521649970791
PYO_68,pyov_219,219,1,9,1,9,1,18,9,18,1,7,1,0.1111111111111111,0.7777777777777778,0.1111111111111111,18,1,15,2,0.05555555555555555,0.8333333333333334,0.1111111111111111,5,6,6,0,100,FALSE,0.09194622167215566
PYO_69,pyov_220,220,1,9,1,9,1,18,9,18,1,7,1,0.1111111111111111,0.7777777777777778,0.1111111111111111,18,1,15,2,0.05555555555555555,0.8333333333333334,0.1111111111111111,5,6,6,0,100,FALSE,0.09194622167215566
PYO_71,pyov_222,222,1,9,1,9,1,18,9,18,1,7,1,0.1111111111111111,0.7777777777777778,0.1111111111111111,18,1,15,2,0.05555555555555555,0.8333333333333334,0.1111111111111111,5,6,6,0,100,FALSE,0.09194622167215566
PYO_70,pyov_221,221,1,9,1,9,3,18,9,6,1,7,1,0.1111111111111111,0.7777777777777778,0.1111111111111111,18,3,13,2,0.16666666666666666,0.7222222222222222,0.1111111111111111,5,6,6,0,100,FALSE,0.08106539265661164
PYO_72,pyov_223,223,1,9,1,9,4,18,9,4.5,1,7,1,0.1111111111111111,0.7777777777777778,0.1111111111111111,18,4,12,2,0.2222222222222222,0.6666666666666666,0.1111111111111111,5,6,6,0,100,FALSE,0.07970528902966861
PYO_67,pyov_218,218,2,9,2,9,3,18,4.5,6,1,7,1,0.1111111111111111,0.7777777777777778,0.1111111111111111,18,2,14,2,0.1111111111111111,0.7777777777777778,0.1111111111111111,5,6,6,0,100,FALSE,0.06231539265661163
PYO_78,pyov_251,251,1,7,1,7,4,52,7,13,1,5,1,0.14285714285714285,0.7142857142857143,0.14285714285714285,52,4,47,1,0.07692307692307693,0.9038461538461539,0.019230769230769232,7,5,4,0,100,FALSE,0.04609026532821922
PYO_76,pyov_249,249,1,7,1,7,13,52,7,4,1,5,1,0.14285714285714285,0.7142857142857143,0.14285714285714285,52,13,38,1,0.25,0.7307692307692307,0.019230769230769232,7,5,4,0,100,FALSE,0.03792964356656119
PYO_55,pyov_103,103,1,4,1,4,1,19,4,19,1,3,0,0.25,0.75,0,19,1,18,0,0.05263157894736842,0.9473684210526315,0,2,10,9,0,33.333333333333336,FALSE,0.03632124352331606
PYO_56,pyov_104,104,1,4,1,4,2,19,4,9.5,1,3,0,0.25,0.75,0,19,2,17,0,0.10526315789473684,0.8947368421052632,0,2,10,9,0,33.333333333333336,FALSE,0.027707253886010363
PYO_79,pyov_252,252,2,7,2,7,6,52,3.5,8.666666666666666,2,4,1,0.2857142857142857,0.5714285714285714,0.14285714285714285,52,6,45,1,0.11538461538461539,0.8653846153846154,0.019230769230769232,7,5,4,0,100,FALSE,0.027577743739272756
PYO_11,pyov_18,18,1,4,1,4,1,9,4,9,1,3,0,0.25,0.75,0,9,1,8,0,0.1111111111111111,0.8888888888888888,0,2,10,9,0,33.333333333333336,FALSE,0.027253886010362695
PYO_84,pyov_267,267,1,4,1,4,1,10,4,10,1,3,0,0.25,0.75,0,10,1,9,0,0.1,0.9,0,6,4,4,0,100,FALSE,0.02381851649850014
PYO_85,pyov_268,268,1,4,1,4,1,10,4,10,1,3,0,0.25,0.75,0,10,1,9,0,0.1,0.9,0,6,4,4,0,100,FALSE,0.02381851649850014
PYO_09,pyov_16,16,1,4,1,4,2,9,4,4.5,1,3,0,0.25,0.75,0,9,2,7,0,0.2222222222222222,0.7777777777777778,0,2,10,9,0,33.333333333333336,FALSE,0.023173575129533677
PYO_10,pyov_17,17,1,4,1,4,3,9,4,3,1,3,0,0.25,0.75,0,9,3,6,0,0.3333333333333333,0.6666666666666666,0,2,10,9,0,33.333333333333336,FALSE,0.021813471502590675
PYO_77,pyov_250,250,2,7,2,7,28,52,3.5,1.8571428571428572,2,4,1,0.2857142857142857,0.5714285714285714,0.14285714285714285,52,28,23,1,0.5384615384615384,0.4423076923076923,0.019230769230769232,7,5,4,0,100,FALSE,0.021403305051880706
PYO_86,pyov_269,269,1,4,1,4,2,10,4,5,1,3,0,0.25,0.75,0,10,2,8,0,0.2,0.8,0,6,4,4,0,100,FALSE,0.019284837742023452
PYO_87,pyov_270,270,1,4,1,4,6,10,4,1.6666666666666667,1,3,0,0.25,0.75,0,10,6,4,0,0.6,0.4,0,6,4,4,0,100,FALSE,0.016262385237705665
PYO_57,pyov_105,105,2,4,2,4,16,19,2,1.1875,2,2,0,0.5,0.5,0,19,16,3,0,0.8421052631578947,0.15789473684210525,0,2,10,9,0,33.333333333333336,FALSE,0.011836679620034542
PYO_29,pyov_42,42,2,3,2,3,12,15,1.5,1.25,2,0,1,0.6666666666666666,0,0.3333333333333333,15,12,0,3,0.8,0,0.2,10,NA,NA,NA,NA,FALSE,NA
