replicate,nodf
1,25.464399387254783
2,25.667136584536998
3,25.807196119144777
4,25.82089676869701
5,25.615028664440047
6,25.422978821098216
7,25.804852815865765
8,25.969543034253277
9,25.34303413894315
10,25.94507226363173
11,25.466378750073723
12,26.149580723433033
13,25.91018686831586
14,25.987554538960985
15,25.37170217834541
16,25.82508760083322
17,25.0686711472039
18,26.35569113572297
19,26.078032288948013
20,25.584081573694434
21,26.127365243420023
22,26.2589676925963
23,25.396874828602453
24,26.700492465528253
25,26.27137504859106
26,26.269668364828874
27,25.369361345889168
28,25.36330528690349
29,26.00411641580733
30,25.647830955991353
31,25.029085005332604
32,26.202764514329218
33,25.554252782220914
34,25.193302388688913
35,26.33515006668451
36,26.338874972532178
37,25.913645256037398
38,25.690755364062134
39,25.258190350328654
40,25.077281182936538
41,25.79120990204374
42,25.812521695248805
43,25.335546351203174
44,25.674520509758047
45,25.427880866451467
46,25.55539018075697
47,25.080269391281952
48,25.519597594532375
49,25.975567896671443
50,26.052984179112997
51,24.577107316616264
52,25.08154792304146
53,25.934977088681876
54,26.398784598224807
55,25.278126759672386
56,25.50645540584712
57,25.647134283683428
58,25.491436251564785
59,25.781171063686667
60,25.564056384693277
61,25.58817328270458
62,25.390567991347872
63,25.95856927767877
64,26.105103134671772
65,25.716579513691542
66,25.404711665216563
67,25.68607394927885
68,25.769045600603313
69,25.520954637270734
70,26.120785923954458
71,25.50055886518897
72,25.437265628158503
73,25.97241527278742
74,26.412825044087946
75,25.52349024636097
76,25.37390472775817
77,25.040803926061972
78,26.406145742033914
79,25.99254774999396
80,25.76933097097171
81,25.628950267292883
82,26.17460838970291
83,25.9354179004915
84,25.771187746365253
85,25.36847472741875
86,26.469026522797346
87,26.06497542348267
88,25.49161792797294
89,25.194269997959605
90,25.361679528522746
91,25.35496250209377
92,25.36111570501413
93,25.944927532373264
94,26.366242987504332
95,25.944967024418318
96,26.082834296399973
97,26.20912303389155
98,24.903032159758233
99,25.471669622900535
100,25.68870648356168
