replicate,modularity
1,0.3988713416009735
2,0.42959607477734235
3,0.42694451990810894
4,0.4295960747773425
5,0.39265432716596604
6,0.40841163681482956
7,0.40074025883242614
8,0.37870228710508663
9,0.4184127568544837
10,0.42940294737243456
11,0.4310152881441022
12,0.43079654281093405
13,0.4300523320655438
14,0.43312221380206595
15,0.419501816688432
16,0.39752798907603876
17,0.38858127516117447
18,0.4312044437771868
19,0.3737780843985626
20,0.38579378640128864
21,0.4160669291213487
22,0.3949470324509645
23,0.415874695365101
24,0.4312044437771868
25,0.3874042405813403
26,0.42063804131278165
27,0.4304706589328325
28,0.38018872270995574
29,0.40056073474601306
30,0.4142919442935171
31,0.41344218371192254
32,0.42766003460207613
33,0.39278043092135573
34,0.4236561907213054
35,0.4118224951623818
36,0.42928031891739027
37,0.4281162918902772
38,0.42824875048058436
39,0.4184289418246637
40,0.42608095741942853
41,0.3948764342068053
42,0.43312221380206595
43,0.42694451990810905
44,0.4023446560604471
45,0.3757602964212746
46,0.42942648012048756
47,0.4020478654109513
48,0.42192539185500805
49,0.40208837748354886
50,0.3962999172282751
51,0.41553610181716505
52,0.43005233206554366
53,0.42976696026003974
54,0.4291183699212953
55,0.4276384877399347
56,0.4273307747179247
57,0.3701924680907852
58,0.41370253335493973
59,0.4229824789257787
60,0.40824889346436993
61,0.385816524794977
62,0.38554038735896234
63,0.35318385172899164
64,0.42422296256048997
65,0.4300523320655438
66,0.43312221380206595
67,0.40492064797074234
68,0.4178145087235995
69,0.4250084797328428
70,0.42635183225777745
71,0.39353397533053086
72,0.4086856890706372
73,0.40292612345537787
74,0.3893610332643834
75,0.39617152970408703
76,0.4109004483336034
77,0.4201610315168037
78,0.42500847973284256
79,0.408685689070637
80,0.42766003460207613
81,0.42912115016157165
82,0.42809663161975203
83,0.3948586605278961
84,0.3943266416921654
85,0.39832144979203804
86,0.43047065893283254
87,0.4037144208680069
88,0.40062855274989595
89,0.40325816357980565
90,0.426659148102605
91,0.43135656263801914
92,0.40325816357980554
93,0.39499191347256773
94,0.409850212569228
95,0.4091419463588385
96,0.39691871927834493
97,0.4331222138020659
98,0.43270388693477707
99,0.41185814181449604
100,0.4271154053908064
101,0.43047065893283254
102,0.41625231157120113
103,0.38858475046151986
104,0.43312221380206595
105,0.426944519908109
106,0.38788522214914156
107,0.3969216981072123
108,0.431356562638019
109,0.4273988906046943
110,0.43266724733970713
111,0.4294255864718274
112,0.4327038869347771
113,0.41792780351485914
114,0.4196478785972336
115,0.4010037858929019
116,0.419746974304225
117,0.4033297547669205
118,0.38597231754474604
119,0.4024983636300088
120,0.4261725067599556
121,0.36659503576183344
122,0.37389634390460125
123,0.42600936623231367
124,0.41821297673177193
125,0.43270388693477707
126,0.4305969612768134
127,0.3785377564573066
128,0.41179350122807185
129,0.4078696885495407
130,0.42761465710899493
131,0.4155128669519986
132,0.4111256477959844
133,0.40596800420054585
134,0.4140682342455698
135,0.41899978472996713
136,0.4257942947880821
137,0.42539046488794835
138,0.4189788336335992
139,0.3973642527826233
140,0.4180876673307468
141,0.4285149584870408
142,0.43079654281093405
143,0.4117935012280718
144,0.39792526555266405
145,0.40208837748354886
146,0.42060477772376176
147,0.4167308107816129
148,0.42474693855827855
149,0.4303032487504805
150,0.42694451990810917
151,0.41899978472996713
152,0.41877746480215805
153,0.42928031891739027
154,0.4071094914225616
155,0.4174805820075559
156,0.43135656263801897
157,0.3949229039371379
158,0.42804201975718165
159,0.39816267821340173
160,0.38074437358803515
161,0.42444399166245655
162,0.4034809799790926
163,0.4261725067599556
164,0.4064100624044789
165,0.4032581635798056
166,0.43270388693477696
167,0.4300523320655438
168,0.4316227706444756
169,0.4185823515113385
170,0.4033022502470441
171,0.39690799549442213
172,0.39264221326190496
173,0.43038327995271997
174,0.4276887306534993
175,0.41299943044792053
176,0.42504323273629663
177,0.4070595463918836
178,0.427660034602076
179,0.4217879685499219
180,0.4291183699212954
181,0.4331222138020659
182,0.3930821862856307
183,0.42033092405654526
184,0.39623289357875696
185,0.4257521940067551
186,0.41915527959684923
187,0.43120444377718675
188,0.43135656263801897
189,0.43191390151912323
190,0.3956063465736319
191,0.4249780956783945
192,0.39752798907603876
193,0.4189875715316105
194,0.39725274528868426
195,0.42894669008423336
196,0.42694451990810905
197,0.4126833767050816
198,0.3777729917927307
199,0.4295960747773425
200,0.41569576704446154
